-3.2983 -1.5809 -2.1198 -0.7442 2 
-1.8293 -1.5715 -5.232 -1.6529 2 
-2.1614 0.3722 0.3046 -0.2403 2 
-4.1748 -2.7283 -0.2829 -0.7448 2 
-0.4897 -3.2283 -1.8234 0.6817 2 
-1.2963 -2.9095 -2.0201 0.0777 2 
-2.9584 -2.263 -2.813 -1.3872 2 
-2.4072 -4.3932 -2.6309 -0.3611 2 
-2.6682 -4.006 0.8133 0.4076 2 
-1.7584 -3.6204 -3.8468 -0.3326 2 
-2.322 -1.0059 -0.81 -0.0353 2 
-2.2312 -2.6279 -1.4315 -0.3654 2 
-0.8665 -4.4747 -1.7556 1.7288 2 
-4.3377 -1.849 0.8271 -1.1703 2 
-3.8964 -3.2673 -2.9374 -2.6006 2 
-3.3042 -0.4452 0.0689 -1.521 2 
-2.0715 -2.9064 -1.6646 -0.6648 2 
-3.9163 -2.5624 -1.6917 -2.4525 2 
-4.7775 -4.0108 -3.4012 -2.0821 2 
0.375 -1.5627 -2.2772 -0.1501 2 
-2.8983 -3.118 -4.9643 -1.4196 2 
-2.8221 -3.2506 -2.9509 -1.3665 2 
-4.4947 -0.9392 4.1178 -1.7897 2 
-5.0465 -3.2252 0.565 -1.1675 2 
-2.732 -1.3881 -2.4945 -0.8055 2 
-2.3947 -0.1913 0.4561 -0.5602 2 
-4.7815 -1.6222 2.1378 -0.6669 2 
-1.6744 -3.3177 -2.3666 -0.4569 2 
-3.3356 -1.1896 -2.6802 -1.0765 2 
-3.3354 -4.0008 -2.764 -2.0844 2 
-2.9442 -3.7513 -1.2613 -0.4924 2 
-6.1899 -3.1288 -0.9843 -3.4015 2 
-1.6182 -3.8695 2.0007 -0.1561 2 
-3.646 -1.082 -3.4665 -2.9339 2 
-4.42 -6.0948 -0.1557 -0.9967 2 
-0.8053 -5.6752 -3.905 -0.2079 2 
-2.2873 -1.6951 -3.374 -0.828 2 
-3.472 -1.3159 -1.1352 -2.4842 2 
-2.7439 -0.9837 -3.5222 -1.395 2 
-5.3528 -1.6695 -0.8804 -3.5722 2 
-3.8579 -2.9882 0.8246 -1.7433 2 
-4.428 -3.6251 0.8616 -1.4456 2 
-3.0041 -1.2616 -1.991 -0.7416 2 
-4.0926 -3.1988 -1.2011 -1.8848 2 
