"alpha = 0.7, beta = 0.3, convergence = 0.0001"
0 0.261657
1 0.222184
2 0.171458
3 0.136488
4 0.112906
5 0.0962674
6 0.0838754
7 0.0743165
8 0.0667531
9 0.0605889
10 0.0554781
11 0.0511716
12 0.0475049
13 0.0443329
14 0.0415629
15 0.0391248
16 0.0369612
17 0.0350293
18 0.0332911
19 0.031721
20 0.0302937
21 0.0289912
22 0.0277982
23 0.0266999
24 0.0256878
25 0.0247507
26 0.0238803
27 0.0230706
28 0.0223145
29 0.0216072
30 0.0209441
31 0.0203212
32 0.019735
33 0.0191821
34 0.0186598
35 0.0181657
36 0.0176975
37 0.0172531
38 0.0168309
39 0.0164293
40 0.0160466
41 0.0156817
42 0.0153332
43 0.0150002
44 0.0146815
45 0.0143764
46 0.0140839
47 0.0138032
48 0.0135337
49 0.0132747
50 0.0130255
51 0.0127858
52 0.0125548
53 0.0123321
54 0.0121173
55 0.01191
56 0.0117098
57 0.0115163
58 0.0113292
59 0.0111482
60 0.0109729
61 0.0108032
62 0.0106387
63 0.0104793
64 0.0103246
65 0.0101745
66 0.0100288
67 0.00988723
68 0.00974969
69 0.00961598
70 0.00948596
71 0.00935945
72 0.00923634
73 0.00911645
74 0.00899971
75 0.00888596
76 0.00877509
77 0.008667
78 0.00856159
79 0.00845874
80 0.00835838
81 0.0082604
